Feature,Importance
op_setting_2_t-18,0.011123839400205462
op_setting_2_t-15,0.010987548936166314
op_setting_2_t-21,0.010820657484089367
op_setting_2_t-3,0.010545408712034932
sensor_4_t-19,0.01049862333258339
op_setting_2_t-38,0.01040744476756952
op_setting_2_t-23,0.010370280347106697
op_setting_2_t-13,0.010261212939457793
sensor_17_t-33,0.010046077019263126
sensor_17_t-14,0.010024591461324053
op_setting_2_t-1,0.009721570624307325
op_setting_2_t-5,0.009664498698777467
op_setting_2_t-37,0.009608680128520982
op_setting_2_t-30,0.009587339814301162
op_setting_2_t-20,0.009408589535756405
sensor_17_t-9,0.008886686239088898
sensor_17_t-18,0.0088045183704746
op_setting_2_t-33,0.008721432536776845
sensor_17_t-11,0.008650691351730567
sensor_17_t-37,0.00859184303844241
op_setting_2_t-27,0.008560243647312966
op_setting_2_t-9,0.008359630057384266
op_setting_2_t-36,0.008014995228504846
sensor_17_t-31,0.007994537430946818
sensor_17_t-17,0.007080455558640791
sensor_17_t-10,0.007041685399220572
op_setting_2_t-22,0.006880485080923351
sensor_17_t-15,0.00657374335926773
op_setting_2_t-16,0.00625112188395489
sensor_17_t-20,0.0062444336438340735
sensor_17_t-8,0.00620631596185447
op_setting_2_t-32,0.006092433452811026
op_setting_2_t-25,0.006088451452951581
sensor_17_t-36,0.005338522095959189
sensor_17_t-21,0.00502834801102675
sensor_17_t-23,0.004788828723775333
sensor_17_t-12,0.0045649008286758495
sensor_17_t-13,0.004385015348352999
sensor_17_t-39,0.004294887956829583
sensor_17_t-29,0.004075431273429616
sensor_17_t-26,0.0028293999152613526
sensor_17_t-32,0.0024952456729016937
sensor_6_t-36,0.0006355954210558531
sensor_6_t-31,0.0004964781663036159
sensor_6_t-35,0.00047229622290009224
sensor_6_t-21,0.00043085063082667706
sensor_6_t-29,0.0004189633837251077
sensor_6_t-32,0.0003586139084889569
sensor_6_t-16,0.0003471534067148454
sensor_6_t-17,0.00034692621971643656
sensor_6_t-1,0.0003174042879672911
sensor_6_t-9,0.00027172720609165853
sensor_6_t-23,0.00025321001115040625
sensor_6_t-5,0.00024221192691708702
sensor_6_t-22,0.00022465127897342487
sensor_6_t-39,0.00019491679511457518
sensor_6_t-26,0.00019393082232223546
sensor_6_t-34,0.00017607769707182744
sensor_6_t-24,0.000171706467965286
sensor_6_t-3,0.0001525469934118082
sensor_6_t-0,0.0001486322188919438
sensor_6_t-15,0.0001450930824502362
sensor_6_t-19,0.00014395646786562871
sensor_6_t-38,0.0001438686399698372
sensor_6_t-7,0.0001376043940052123
sensor_6_t-37,0.00013748896643284316
sensor_6_t-20,0.00013667075333441208
sensor_6_t-30,0.00013641806474511443
sensor_6_t-25,0.00013316114977001529
sensor_6_t-10,0.0001066398740024261
sensor_6_t-2,9.517146357457878e-05
sensor_6_t-11,7.548219829548215e-05
sensor_6_t-12,6.94164528105844e-05
sensor_6_t-13,6.287805979682831e-05
sensor_6_t-8,5.4467057536153324e-05
sensor_6_t-28,5.1298604492733534e-05
sensor_6_t-4,4.541406347455863e-05
sensor_6_t-33,3.0404182469481476e-05
sensor_6_t-14,2.5485476656205494e-05
sensor_6_t-18,2.4917388716219036e-05
sensor_6_t-27,1.9480175970519087e-05
sensor_6_t-6,5.799038480534702e-06
